,season,win_pct,team
1062,1990,.671,UTA
1063,1989,.622,UTA
1064,1988,.573,UTA
1065,1987,.537,UTA
1066,1986,.512,UTA
1067,1985,.500,UTA
1068,1984,.549,UTA
1069,1983,.366,UTA
1070,1982,.305,UTA
1071,1981,.341,UTA
1072,2020,.375,WAS
1073,2019,.390,WAS
1074,2018,.524,WAS
1075,2017,.598,WAS
1076,2016,.500,WAS
1077,2015,.561,WAS
1078,2014,.537,WAS
1079,2013,.354,WAS
1080,2012,.303,WAS
1081,2011,.280,WAS
1082,2010,.317,WAS
1083,2009,.232,WAS
1084,2008,.524,WAS
1085,2007,.500,WAS
1086,2006,.512,WAS
1087,2005,.549,WAS
1088,2004,.305,WAS
1089,2003,.451,WAS
1090,2002,.451,WAS
1091,2001,.232,WAS
1092,1900,.354,WAS
1093,1999,.360,WAS
1094,1998,.512,WAS
1095,1997,.537,WAS
1096,1996,.476,WAS
1097,1995,.256,WAS
1098,1994,.293,WAS
1099,1993,.268,WAS
1100,1992,.305,WAS
1101,1991,.366,WAS
1102,1990,.378,WAS
1103,1989,.488,WAS
1104,1988,.463,WAS
1105,1987,.512,WAS
1106,1986,.476,WAS
1107,1985,.488,WAS
1108,1984,.427,WAS
1109,1983,.512,WAS
1110,1982,.524,WAS
1111,1981,.476,WAS
